Unnamed: 0,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
4,Media,TSA                 (Tryptone Soya Agar),104130,A0001753,Y,Y,Y (KPBT4412),510635636GMP.BUK
5,Media,MEA                        (Malt Extract Agar),104300,A0002144,Y,Y,Y (KPBT4412),510635636GMP.BUK
6,Diluent,Sterile Distilled Water,15230071,100000774,Y,Y,N,510635636GMP.BUK
7,Positive Control,S. aureus ATCC 6538,Q7016C,A0000762,Y,Y,Y         (BPBT1657),510635636GMP.BUK
8,Positive Control,B. subtilis ATCC 6633,Q1221C,A0000757,Y,Y,Y         (BPBT1657),510635636GMP.BUK
9,Positive Control,C. sporogenes ATCC 19404 or 11437,Q1700C/Q1703C,A0000759/760,Y,Y,Y         (BPBT1657),510635636GMP.BUK
10,Positive Control,Ps. aeruginosa ATCC 9027,Q5210C,A0000761,Y,Y,Y         (BPBT1657),510635636GMP.BUK
11,Positive Control,A. brasiliensis ATCC 16404,Q1100C,A0000756,Y,Y,Y         (BPBT1657),510635636GMP.BUK
12,Positive Control,C. albicans ATCC 10231,Q1503C,A0000758,Y,Y,Y         (BPBT1657),510635636GMP.BUK
13,Reagent,Anaerobic sachets,BRS024/AN0025A,A0000666,Y,N,,510635636GMP.BUK
1,Material type,Name, , ,Y/N,Y/N,Y/N,510635GMP.BUK
2,Test Kit,Kinetic QCL Test Kit,50-650U,A0000367,Y,N,N,510635GMP.BUK
1,Material type,Name, , ,Y/N,Y/N,Y/N,510636GMP.BUK
2,Broth,TSB Broth,44011,A0000329.UK,Y,Y,,510636GMP.BUK
3,Broth,THIO Broth,44001,A0000328.UK,Y,Y,,510636GMP.BUK
4,Water,Sterile Distilled Water,15230071,100000774.100ML,Y,Y,,510636GMP.BUK
5,Positive Control,Candida Albicans 10231,Q1503C,A0000758.UK,Y,N,,510636GMP.BUK
6,Positive Control,Aspergillus  16404,Q1100C,A0000756.UK,Y,N,,510636GMP.BUK
7,Positive Control,Staph Aureus 6538,Q7016C,A0000762.UK,Y,N,,510636GMP.BUK
8,Positive Control,Bacillus Subtilis 6633,Q1221C,A0000757.UK,Y,N,,510636GMP.BUK
9,Positive Control,P Aeruginosa 9027,Q5210C,A0000761.UK,Y,N,,510636GMP.BUK
10,Positive Control,C Sporogenes,Q1700C,A0000759.UK,Y,N,,510636GMP.BUK
